Campaign,Ad Group,Keyword,Criterion Type,Status
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,автобус одесса бургас,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,одесса бургас автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,билеты одесса бургас,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,одесса бургас билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Бургас,автобус из одессы в бургас,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,автобус варна одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,варна одесса автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,билеты варна одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,варна одесса билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Варна — Одесса,автобус из варны в одессу,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,автобус одесса солнечный берег,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,одесса солнечный берег автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,билеты одесса солнечный берег,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,одесса солнечный берег билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Солнечный берег,автобус из одессы в солнечный берег,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,автобус бургас одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,бургас одесса автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,билеты бургас одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,бургас одесса билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Бургас — Одесса,автобус из бургаса в одессу,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,автобус солнечный берег одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,солнечный берег одесса автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,билеты солнечный берег одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,солнечный берег одесса билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Солнечный берег — Одесса,автобус из солнечного берега в одессу,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,автобус одесса констанца,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,одесса констанца автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,билеты одесса констанца,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,одесса констанца билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Одесса — Констанца,автобус из одессы в констанцу,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,автобус констанца одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,констанца одесса автобус,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,билеты констанца одесса,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,констанца одесса билеты,Exact,Enabled
Search — Маршруты — Exact — UA/BG,Констанца — Одесса,автобус из констанцы в одессу,Exact,Enabled
